Metric,Value
Baseline aspect ratio,13.5
Final aspect ratio,15.5
Baseline span (m),39.13
Final span (m),41.93
Baseline aircraft mass (kg),55000.00
Final aircraft mass (kg),56416.50
Baseline wingbox mass (kg),4802.19
Conventional AR15.5 wingbox mass (kg),6629.17
Nominal technology wingbox mass (kg),6084.03
Fail-safe wingbox mass (kg),6143.69
GLA/MLA system mass (kg),75.00
Final structural-control package (kg),6218.69
Structural mass budget (kg),6242.85
Structural mass margin (kg),24.16
Static aeroelastic tip twist (deg),-1.769
Induced-drag reduction (%),8.36
Total cruise-drag reduction (%),2.28
Baseline L/D,18.91
Technology L/D,19.85
L/D improvement (%),4.97
Study cruise range (km),3000
Baseline cruise fuel (kg),6234.17
Technology cruise fuel (kg),6109.06
Fuel saving (kg),125.10
Fuel saving (%),2.01
Final preview time (s),0.070
Final sensor delay (s),0.040
Equivalent sensing distance (m),15.69
Effective timing lead (s),0.030
Controlled-load target (MN m),3.729
Mean envelope GLA (%),15.79
5th-percentile envelope GLA (%),13.81
95th-percentile controlled load (MN m),3.687
99th-percentile controlled load (MN m),3.775
Worst observed controlled load (MN m),3.807
Absolute load pass rate (%),98.0
Envelope >=10% GLA pass rate (%),100.0
Actuator pass rate (%),100.0
Joint robustness pass rate (%),98.0
Max root stress (MPa),159.87
Max dynamic tip deflection (m),1.679
Max actuator deflection (deg),13.89
